เว็บไซต์ของส่วนงาน(คณะ/วิทยาลัย/สำนัก),URL ของเว็บไซต์
"คณะมนุษยศาสตร์และสังคมศาสตร์","hs-service.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","hs.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","hsca.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","hscm.kku.ac.th"
"คณะพยาบาลศาสตร์","hselearning.kku.ac.th"
"คณะพยาบาลศาสตร์","hsintern.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","hsstc.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","hstv.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","huso.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","husoalumni.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","husodeptservice.kku.ac.th"
"คณะมนุษยศาสตร์และสังคมศาสตร์","husolc.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","i-legacy.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","i.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","ia.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","iacuc.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","iad.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","ibuilding.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","ic.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","icam.kku.ac.th"
"กองเทคโนโลยีสารสนเทศ","icead.kku.ac.th"
